doi,title,relevance_score,publication_year,publication_date,cited_by_count
https://doi.org/10.1038/nmeth.2066,Metagenomic microbial community profiling using unique clade-specific marker genes,111.21216,2012,2012-06-10,1630
https://doi.org/10.1186/s40168-018-0605-2,Simple statistical identification and removal of contaminant sequences in marker-gene and metagenomics data,76.70958,2018,2018-12-01,2038
https://doi.org/10.1101/gr.096651.109,The NIH Human Microbiome Project,72.840385,2009,2009-10-09,1881
https://doi.org/10.1038/nature11553,Genomic approaches to studying the human microbiota,42.843376,2012,2012-09-01,493
https://doi.org/10.1016/j.chom.2014.08.014,The Integrative Human Microbiome Project: Dynamic Analysis of Microbiome-Host Omics Profiles during Periods of Human Health and Disease,36.729168,2014,2014-09-01,462
https://doi.org/10.1038/nm.4272,Maturation of the infant microbiome community structure and function across multiple body sites and in relation to mode of delivery,36.539303,2017,2017-01-23,839
https://doi.org/10.1152/physrev.00018.2018,The Microbiota-Gut-Brain Axis,35.94782,2019,2019-08-28,2917
https://doi.org/10.1093/humupd/dmy048,Identification and evaluation of the microbiome in the female and male reproductive tracts,32.410248,2018,2018-05-01,143
https://doi.org/10.1186/1471-2164-13-s8-s17,Species-level classification of the vaginal microbiome,31.986156,2012,2012-12-01,174
https://doi.org/10.1128/msystems.00013-15,Metabolic Model-Based Integration of Microbiome Taxonomic and Metabolomic Profiles Elucidates Mechanistic Links between Ecological and Metabolic Variation,31.037912,2016,2016-01-13,182
https://doi.org/10.1038/s41579-018-0041-0,Culturing the human microbiota and culturomics,30.994661,2018,2018-06-24,610
https://doi.org/10.1146/annurev-genom-090711-163814,The Human Microbiome: Our Second Genome,30.404268,2012,2012-06-16,574
https://doi.org/10.1371/journal.pcbi.1002606,Microbial Co-occurrence Relationships in the Human Microbiome,29.729715,2012,2012-07-12,1363
https://doi.org/10.1038/s41591-019-0600-6,Vaginal microbiome transplantation in women with intractable bacterial vaginosis,28.613186,2019,2019-10-01,253
https://doi.org/10.1016/j.immuni.2016.12.013,Lactobacillus-Deficient Cervicovaginal Bacterial Communities Are Associated with Increased HIV Acquisition in Young South African Women,24.970049,2017,2017-01-01,521
https://doi.org/10.1152/physiolgenomics.00045.2019,Role for the mammalian female reproductive tract microbiome in pregnancy outcomes,21.867483,2019,2019-06-28,63
https://doi.org/10.3402/jom.v4i0.10743,Pyrosequencing as a tool for better understanding of human microbiomes,21.200443,2012,2012-01-01,148
https://doi.org/10.1038/nrmicro3451,Sequencing and beyond: integrating molecular 'omics' for microbial community profiling,21.170368,2015,2015-04-27,593
https://doi.org/10.1186/s40425-019-0574-4,Exploring the emerging role of the microbiome in cancer immunotherapy,21.142801,2019,2019-04-17,253
https://doi.org/10.1080/16512235.2017.1303265,Changes in vaginal community state types reflect major shifts in the microbiome,20.326544,2017,2017-01-01,83
