doi,title,relevance_score,publication_year,publication_date,cited_by_count
https://doi.org/10.1109/tpami.2023.3275156,Multimodal Learning With Transformers: A Survey,716.8861,2023,2023-01-01,174
https://doi.org/10.1101/2023.01.11.523679,The Nucleotide Transformer: Building and Evaluating Robust Foundation Models for Human Genomics,688.8785,2023,2023-01-15,56
https://doi.org/10.1038/s41586-023-05881-4,Foundation models for generalist medical artificial intelligence,669.8666,2023,2023-04-12,433
https://doi.org/10.1101/2024.02.27.582234,Sequence modeling and design from molecular to genome scale with Evo,641.9354,2024,2024-02-27,35
https://doi.org/10.1002/mef2.43,Accelerating the integration of ChatGPT and other large‐scale AI models into biomedical research and healthcare,632.1301,2023,2023-05-17,62
https://doi.org/10.1145/3611651,Pre-trained Language Models in Biomedical Domain: A Systematic Survey,566.1072,2023,2023-08-01,48
https://doi.org/10.2214/ajr.16.17224,Implementing Machine Learning in Radiology Practice and Research,478.83356,2017,2017-01-26,265
https://doi.org/10.1162/neco_a_01563,Large Language Models and the Reverse Turing Test,447.29715,2023,2023-02-06,85
https://doi.org/10.1093/bib/bbad493,Opportunities and challenges for ChatGPT and large language models in biomedicine and health,430.30212,2023,2023-11-22,91
https://doi.org/10.1109/jbhi.2023.3316750,"Large AI Models in Health Informatics: Applications, Challenges, and the Future",419.89026,2023,2023-09-22,55
https://doi.org/10.1101/2023.06.12.544594,GENA-LM: A Family of Open-Source Foundational DNA Language Models for Long Sequences,386.8792,2023,2023-06-13,13
https://doi.org/10.1016/j.media.2021.102306,Surgical data science – from concepts toward clinical translation,377.2021,2021,2021-11-18,170
https://doi.org/10.1038/s41437-021-00403-2,The population genomics of adaptive loss of function,357.37253,2021,2021-02-11,40
https://doi.org/10.1101/2022.08.06.503062,Interpretable RNA Foundation Model from Unannotated Data for Highly Accurate RNA Structure and Function Predictions,341.69617,2022,2022-08-07,45
https://doi.org/10.18653/v1/2022.emnlp-main.488,mPLUG: Effective and Efficient Vision-Language Learning by Cross-modal Skip-connections,337.10095,2022,2022-01-01,64
https://doi.org/10.1093/nar/gkad1031,Multiple sequence alignment-based RNA language model and its application to structural inference,332.05054,2023,2023-11-06,17
https://doi.org/10.1055/s-0039-1677895,Beginnings of Artificial Intelligence in Medicine (AIM): Computational Artifice Assisting Scientific Inquiry and Clinical Art – with Reflections on Present AIM Challenges,307.57968,2019,2019-04-25,82
https://doi.org/10.3390/ijms242115858,Deep Learning for Genomics: From Early Neural Nets to Modern Large Language Models,296.0865,2023,2023-11-01,6
https://doi.org/10.1016/j.copbio.2022.102881,Perspectives for self-driving labs in synthetic biology,282.04175,2023,2023-01-03,29
https://doi.org/10.3389/frai.2022.807406,Generative Models of Brain Dynamics,280.22516,2022,2022-07-15,25
https://doi.org/10.1146/annurev-pathmechdis-051222-113147,Toward Explainable Artificial Intelligence for Precision Pathology,277.5077,2023,2023-10-23,17
https://doi.org/10.1101/2023.11.28.568918,Universal Cell Embeddings: A Foundation Model for Cell Biology,274.41754,2023,2023-11-29,18
https://doi.org/10.18653/v1/2022.emnlp-main.432,"Video Question Answering: Datasets, Algorithms and Challenges",271.70215,2022,2022-01-01,30
https://doi.org/10.1101/2024.02.29.582810,Evaluating the representational power of pre-trained DNA language models for regulatory genomics,265.30176,2024,2024-03-04,4
https://doi.org/10.1145/3617592,Deep Learning Approaches on Image Captioning: A Review,254.2262,2023,2023-08-25,31
https://doi.org/10.1093/bib/bbx035,"The anatomy of phenotype ontologies: principles, properties and applications",252.06201,2017,2017-03-07,85
https://doi.org/10.36227/techrxiv.23589741.v3,"Large Language Models: A Comprehensive Survey of its Applications, Challenges, Limitations, and Future Prospects",251.73709,2023,2023-09-21,12
https://doi.org/10.2967/jnumed.123.265687,An Opinion on ChatGPT in Health Care—Written by Humans Only,247.5486,2023,2023-04-13,39
https://doi.org/10.1007/s10916-024-02045-3,The Breakthrough of Large Language Models Release for Medical Applications: 1-Year Timeline and Perspectives,246.04393,2024,2024-02-17,20
https://doi.org/10.1093/bib/bbad422,From intuition to AI: evolution of small molecule representations in drug discovery,245.80511,2023,2023-11-22,10
https://doi.org/10.6028/nist.ai.100-2e2023,Adversarial machine learning :,236.74858,2024,2024-01-02,28
https://doi.org/10.1109/jiot.2023.3329061,"Federated Learning for Medical Applications: A Taxonomy, Current Trends, Challenges, and Future Research Directions",235.57133,2023,2023-11-01,36
https://doi.org/10.1109/tmm.2017.2729400,Retrieval From and Understanding of Large-Scale Multi-modal Medical Datasets: A Review,233.29811,2017,2017-07-19,55
https://doi.org/10.18653/v1/2023.bionlp-1.30,Evaluation of ChatGPT on Biomedical Tasks: A Zero-Shot Comparison with Fine-Tuned Generative Transformers,229.86438,2023,2023-01-01,16
https://doi.org/10.1101/2023.05.29.542705,Large Scale Foundation Model on Single-cell Transcriptomics,229.0553,2023,2023-05-31,32
https://doi.org/10.1038/s41556-023-01194-w,Advances and prospects for the Human BioMolecular Atlas Program (HuBMAP),226.85838,2023,2023-07-19,57
https://doi.org/10.1162/coli_a_00481,Machine Learning for Ancient Languages: A Survey,225.84856,2023,2023-01-01,13
https://doi.org/10.1259/bjr.20230023,AI pitfalls and what not to do: mitigating bias in AI,216.62015,2023,2023-09-12,45
https://doi.org/10.3390/biomedinformatics4010015,"Deep Machine Learning for Medical Diagnosis, Application to Lung Cancer Detection: A Review",215.49405,2024,2024-01-18,11
https://doi.org/10.1109/jas.2022.106103,DeCASA in AgriVerse: Parallel Agriculture for Smart Villages in Metaverses,209.66484,2022,2022-12-01,28
https://doi.org/10.24072/pcjournal.72,Simulation of bacterial populations with SLiM,207.49786,2022,2022-01-13,21
https://doi.org/10.1101/2023.09.09.556981,CodonBERT: Large Language Models for mRNA design and optimization,207.0448,2023,2023-09-12,12
https://doi.org/10.1101/2024.03.14.584712,SegmentNT: annotating the genome at single-nucleotide resolution with DNA foundation models,205.48169,2024,2024-03-15,4
https://doi.org/10.1038/s41746-024-01024-9,CancerGPT for few shot drug pair synergy prediction using large pretrained language models,204.96759,2024,2024-02-19,19
https://doi.org/10.59717/j.xinn-med.2023.100030,"Artificial intelligence for medicine: Progress, challenges, and perspectives",203.02321,2023,2023-01-01,16
https://doi.org/10.1021/acs.jcim.3c00643,Open-Source Machine Learning in Computational Chemistry,199.3417,2023,2023-07-19,20
https://doi.org/10.3389/fcomm.2023.1129082,Artificial intelligence for health message generation: an empirical study using a large language model (LLM) and prompt engineering,197.97452,2023,2023-05-26,32
https://doi.org/10.1101/2022.01.31.478596,Generative pretraining from large-scale transcriptomes: Implications for single-cell deciphering and clinical translation,197.79007,2022,2022-02-02,6
https://doi.org/10.1101/2023.10.16.562533,GENEPT: A SIMPLE BUT HARD-TO-BEAT FOUNDATION MODEL FOR GENES AND CELLS BUILT FROM CHATGPT,193.2969,2023,2023-10-19,18
https://doi.org/10.3389/fmed.2023.1278232,"Principles, applications, and future of artificial intelligence in dermatology",192.28265,2023,2023-10-12,12
https://doi.org/10.1016/j.cemconcomp.2022.104721,"Estimating compressive strength of lightweight foamed concrete using neural, genetic and ensemble machine learning approaches",191.12245,2022,2022-08-21,60
https://doi.org/10.3389/frai.2023.1237704,Overview of Chatbots with special emphasis on artificial intelligence-enabled ChatGPT in medical science,191.0805,2023,2023-10-31,30
https://doi.org/10.1128/mbio.02899-18,Large Circular Plasmids from Groundwater Plasmidomes Span Multiple Incompatibility Groups and Are Enriched in Multimetal Resistance Genes,189.91989,2019,2019-02-25,43
https://doi.org/10.3386/w27373,Implications of Heterogeneous SIR Models for Analyses of COVID-19,187.89441,2020,2020-06-01,80
https://doi.org/10.18653/v1/2022.emnlp-main.763,PEVL: Position-enhanced Pre-training and Prompt Tuning for Vision-language Models,187.16495,2022,2022-01-01,15
