run_accession	fastq_ftp
SRR6468502	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468502/SRR6468502.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468502/SRR6468502_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468502/SRR6468502_2.fastq.gz
SRR6468504	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468504/SRR6468504.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468504/SRR6468504_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468504/SRR6468504_2.fastq.gz
SRR6468505	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468505/SRR6468505_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468505/SRR6468505_2.fastq.gz
SRR6468507	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468507/SRR6468507.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468507/SRR6468507_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468507/SRR6468507_2.fastq.gz
SRR6468511	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468511/SRR6468511.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468511/SRR6468511_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468511/SRR6468511_2.fastq.gz
SRR6468515	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468515/SRR6468515.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468515/SRR6468515_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468515/SRR6468515_2.fastq.gz
SRR6468517	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468517/SRR6468517.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468517/SRR6468517_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468517/SRR6468517_2.fastq.gz
SRR6468521	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468521/SRR6468521.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468521/SRR6468521_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468521/SRR6468521_2.fastq.gz
SRR6468522	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468522/SRR6468522.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468522/SRR6468522_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468522/SRR6468522_2.fastq.gz
SRR6468524	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468524/SRR6468524.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468524/SRR6468524_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468524/SRR6468524_2.fastq.gz
SRR6468527	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468527/SRR6468527.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468527/SRR6468527_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468527/SRR6468527_2.fastq.gz
SRR6468529	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468529/SRR6468529.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468529/SRR6468529_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468529/SRR6468529_2.fastq.gz
SRR6468532	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468532/SRR6468532.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468532/SRR6468532_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468532/SRR6468532_2.fastq.gz
SRR6468533	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468533/SRR6468533.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468533/SRR6468533_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468533/SRR6468533_2.fastq.gz
