,Unnamed: 0,accession,samples-count,bioproject,is-private,last-update,secondary-accession,centre-name,study-name,data-origination,doi
0,0,MGYS00005333,244,PRJEB26832,False,2024-06-28T21:01:05,ERP108859,EMG,EMG produced TPA metagenomics assembly of the Gut microbial dysbiosis in young adults with obesity (Gut microbial dysbiosis in young adults with obesity) data set.,SUBMITTED,10.1093/nar/gkx967
1,1,MGYS00005230,915,PRJEB5729,False,2024-06-28T15:19:05,ERP005153,CCME-COLORADO,Flores_fecal_EBI,SUBMITTED,10.1186/s13059-014-0531-y
2,2,MGYS00002675,24,PRJEB25206,False,2024-05-28T16:10:03,ERP107102,EMBL-EBI,EMG produced TPA metagenomics assembly of the Oral microbiome Metagenome (human oral metagenome) data set.,SUBMITTED,10.1093/nar/gkx967
3,3,MGYS00006069,1098,PRJEB48911,False,2024-05-21T04:01:31,ERP133351,EMG,EMG produced TPA metagenomics assembly of PRJEB11419 data set (American Gut Project).,SUBMITTED,10.1093/nar/gkx967
4,4,MGYS00006006,419,PRJEB49206,False,2024-05-16T13:27:35,ERP133688,Stanford University School of Medicine,Extensive microbial novelty in the Hadza and Nepali gut microbiome reveals how lifestyle impacts composition and function,SUBMITTED,10.1371/journal.pbio.2005396
5,5,MGYS00002061,52,PRJEB22554,False,2024-05-13T20:09:07,ERP104235,EMBL-EBI,EMG produced TPA metagenomics assembly of the Increased intestinal microbial diversity following fecal microbiota transplant for active Crohn''s disease (human gut metagenome) data set,SUBMITTED,10.3389/fmicb.2020.00932
6,6,MGYS00000633,1563,PRJNA63661,False,2024-05-08T04:11:27,SRP001634,Broad Institute,Microbial composition of samples from infant gut,HARVESTED,10.1128/spectrum.01176-21
7,7,MGYS00002238,111,PRJNA362687,False,2024-05-02T19:59:51,SRP097646,Tongji University,Oral microbial changes in ASD children,HARVESTED,10.1038/s41598-018-19982-y
8,8,MGYS00006562,554,PRJEB65351,False,2024-04-24T15:40:21,ERP150486,EMG,EMG produced TPA metagenomics assembly of PRJEB54673 data set (Paediatric Oral Microbiome).,SUBMITTED,10.1093/nar/gkz1035
9,9,MGYS00005154,529,PRJEB3079,False,2024-04-11T19:25:08,ERP001500,CCME-COLORADO,Human gut microbiome viewed across age and geography,SUBMITTED,10.1016/j.csbj.2021.07.009
10,10,MGYS00006551,2043,PRJEB67738,False,2024-04-10T16:22:43,ERP152745,EMG,EMG produced TPA metagenomics assembly of PRJEB62473 data set (The INTEGRATE project).,SUBMITTED,10.1093/nar/gkz1035
11,11,MGYS00006649,20,PRJEB47694,False,2024-04-03T17:48:00,ERP131993,EMG,EMG produced TPA metagenomics assembly of PRJNA748214 data set (saliva samples Raw sequence reads).,SUBMITTED,10.1093/nar/gkx967
12,12,MGYS00006641,88,PRJEB43277,False,2024-03-28T13:09:42,ERP127228,EMG,EMG produced TPA metagenomics assembly of PRJNA547717 data set (human oral metagenome Raw sequence reads).,SUBMITTED,10.1093/nar/gkx967
13,13,MGYS00006642,57,PRJEB43278,False,2024-03-28T10:54:15,ERP127229,EMG,EMG produced TPA metagenomics assembly of PRJDB5315 data set (Metgenomic analysis of human saliva microbiome from healthy subjects).,SUBMITTED,10.1093/nar/gkx967
14,14,MGYS00006364,160,PRJEB49987,False,2024-03-28T09:36:00,ERP134534,EMG,EMG produced TPA metagenomics assembly of PRJEB36291 data set (Defining the oral microbiome by Whole Genome Sequencing and resistome analysis: the complexity of the healthy picture).,SUBMITTED,10.1093/nar/gkx967
